Sl.No.,Cr,Ti,V,W,beta_transus,solidus,delta,VEC,BSD,epsilon_p
51,20,0,25,55,1006.3,2428.49,1422.19,5.75,0.992,0
52,5,0,15,80,876.35,2800.94,1924.59,5.85,1.011,0
53,20,0,15,65,1071,2543.92,1472.92,5.85,1.011,0
54,5,0,30,65,873.24,2497.55,1624.31,5.7,0.982,0
55,10,0,35,55,880.56,2386.81,1506.25,5.65,0.973,0
56,35,0,15,50,1211.73,2301.76,1090.03,5.85,1.011,0
57,25,20,15,40,993.11,1871.06,877.95,5.45,0.935,3.79
58,10,25,20,45,854.09,2019.64,1165.55,5.3,0.906,5.051
59,20,20,10,50,1042.26,1958.13,915.87,5.5,0.944,3.381
60,20,20,20,40,907.06,1926.67,1019.61,5.4,0.925,4.157
61,10,15,25,50,862.3,2166.81,1304.51,5.45,0.935,3.79
62,10,25,25,40,812.05,1977.78,1165.73,5.25,0.896,5.724
63,20,25,10,45,944.42,1870.49,926.07,5.4,0.925,4.157
64,15,5,30,50,895.38,2272.35,1376.97,5.6,0.963,0
65,20,20,15,45,973.7,1948.09,974.39,5.45,0.935,3.79
66,15,30,5,50,977.86,1886.65,908.79,5.35,0.915,4.553
67,20,30,10,40,1000.07,1803.84,803.77,5.3,0.906,5.051
68,20,15,15,50,1023.91,2057.66,1033.75,5.55,0.954,2.857
69,15,15,15,55,993.76,2163.77,1170.01,5.55,0.954,2.857
70,25,35,5,35,1073.94,1697.95,624.01,5.25,0.896,5.724
71,10,15,20,55,889.35,2226.46,1337.11,5.5,0.944,3.381
72,35,5,20,40,1036.74,2076.39,1039.65,5.7,0.982,0
73,5,15,15,65,854.23,2425.58,1571.35,5.55,0.954,2.857
74,5,5,20,70,676.48,2565.75,1889.27,5.7,0.982,0
75,5,10,10,75,888.02,2657.35,1769.33,5.7,0.982,0
76,25,5,30,40,874.26,2135.29,1261.03,5.6,0.963,0
77,25,30,5,40,1110.17,1740.18,630.01,5.35,0.915,4.553
78,25,20,10,45,1080.87,1877.64,796.77,5.5,0.944,3.381
79,10,30,10,50,826.49,2002.8,1176.31,5.3,0.906,5.051
80,25,15,10,50,1121.45,1978.96,857.51,5.6,0.963,0
81,5,25,30,40,776.66,2017.91,1241.25,5.2,0.887,6.642
82,10,5,35,50,841.72,2264.83,1423.11,5.55,0.954,2.857
83,15,15,20,50,933.17,2123.28,1190.11,5.5,0.944,3.381
84,15,20,25,40,840.84,1977.25,1136.41,5.35,0.915,4.553
85,5,25,20,50,817.38,2131.45,1314.07,5.3,0.906,5.051
86,30,20,10,40,1083.72,1817.35,733.63,5.5,0.944,3.381
87,5,25,25,45,798.27,2071.5,1273.23,5.25,0.896,5.724
88,5,15,30,50,808.95,2184.94,1375.99,5.4,0.925,4.157
89,5,5,15,75,741.23,2671.14,1929.91,5.75,0.992,0
90,20,5,35,40,824.64,2148.59,1323.95,5.55,0.954,2.857
91,10,5,15,70,1010.06,2565.99,1555.93,5.75,0.992,0
92,5,20,10,65,855.05,2402.1,1547.05,5.5,0.944,3.381
93,35,5,25,35,927.17,2041.18,1114.01,5.65,0.973,0
94,5,15,25,55,813.14,2255.13,1441.99,5.45,0.935,3.79
95,30,5,25,40,945.3,2110.37,1165.07,5.65,0.973,0
96,20,15,10,55,955.28,2073.05,1117.77,5.6,0.963,0
97,5,30,30,35,760.47,1948.32,1187.85,5.1,0.868,9.506
