chemical formula,"lattice constant, a0","lattice mismatch, delta","valence electron concentration, vec","average displacement, <u>","displacement l21 norm, l21_norm_u",<u>/l21_norm_u,"local lattice displacement, lld","total occupied states, g_occ","total bonding states, g_bond",g_occ/g_bond,"Hartigan's dip, dip",epsilon_p
Cr18Mo18Nb18Ta18W18,3.1664966564320824,4.72127709263154,5.6,0.05803743417054545,5.2233690753490905,0.011111111111111112,0.039999999999999994,4.0104069050105,6.577286595538498,0.6097357697216413,0.013714567806343924,461.8737256878612
Cr18Mo18Nb18Ta18W18,3.166965192623817,4.72127709263154,5.6,0.0532382755310905,4.791444797798145,0.011111111111111112,0.039999999999999994,3.952475524765116,4.176170204565116,0.9464354495045553,0.011111378774168889,3.268864043553549
Hf18Mo18Nb18Ta18W18,3.284165508456326,5.010146054252312,5.2,0.0825047621093021,7.42542858983719,0.01111111111111111,0.035555555555555556,3.521425495171637,3.772715476171637,0.9333928088171132,0.02309497634040349,3.836145076320463
Hf18Mo18Nb18Ta18W18,3.2839694444608507,5.010146054252312,5.2,0.0835316840286279,7.517851562576511,0.011111111111111112,0.03555555555555556,3.5124076210362905,6.181079796036293,0.5682514604145174,0.03065008399434521,660.8096891853183
Hf18Mo18Nb18Ta18W18,3.284835370038354,5.010146054252312,5.2,0.08696032032365873,7.826428829129286,0.011111111111111112,0.035555555555555556,3.438656094471092,3.942916420871092,0.8721098109686546,0.013941703671244346,8.678059899169966
Hf18Mo18Nb18Ta18W18,3.2850385129288475,5.010146054252312,5.2,0.08844978969949523,7.960481072954571,0.01111111111111111,0.035555555555555556,3.417011366627147,3.9190526892271476,0.8718972766097194,0.024590465080866986,8.71444980542401
Hf18Mo18Nb18Ta18W18,3.2835102487531596,5.010146054252312,5.2,0.08818328240363289,7.93649541632696,0.011111111111111112,0.03555555555555556,3.4440759595729995,3.974763010172999,0.8664858636246336,0.020420876736148917,9.714528428345147
Mo18Nb18Re18Ta18W18,3.2041904475941916,2.7059584822785,5.8,0.04191129527951876,3.7720165751566883,0.01111111111111111,0.04222222222222222,3.989748988046319,0.5487204838263195,7.271004282955018,0.01215949828026525,
Mo18Nb18Re18Ta18W18,3.2034502320155274,2.7059584822785,5.8,0.03523948626061623,3.1715537634554605,0.011111111111111112,0.042222222222222223,3.9410000187593246,4.011593185859324,0.9824027103872753,0.009189534394360002,
Mo18Nb18Re18Ta18W18,3.203288811140255,2.7059584822785,5.8,0.032363391609970225,2.91270524489732,0.011111111111111112,0.042222222222222223,3.9341977086788678,4.011666391378868,0.9806891513046844,0.010695658116774132,
Mo18Nb18Re18Ta18W18,3.203647978743832,2.7059584822785,5.8,0.035977388602344014,3.237964974210961,0.011111111111111112,0.042222222222222223,3.9726589207252974,5.110114654325299,0.7774109172604889,0.010932151047695791,57.438525061408654
Mo18Nb18Re18Ta18W18,3.203160813037867,2.7059584822785,5.8,0.031842942574374075,2.865864831693667,0.01111111111111111,0.04222222222222222,3.951235571623881,5.103838290123883,0.7741694283828837,0.010097460801881928,60.687575904941696
Hf10Mo4Nb10Ta10Ti10Zr10,3.3805820039805603,4.675772119217514,4.518518518518518,0.17102703655255388,9.23545997383791,0.018518518518518517,0.046639231824417,2.6357577086726818,3.5148063928393487,0.7499012503341473,0.0252305708107513,89.453197997389
Hf10Mo4Nb10Ta10Ti10Zr10,3.3793916192589712,4.675772119217514,4.518518518518518,0.15452515292474356,8.344358257936152,0.018518518518518517,0.046639231824417,2.6414784595068657,3.5279528133401996,0.7487283983840939,0.023470547884635165,91.0536175922498
Hf10Mo4Nb10Ta10Ti10Zr10,3.3825775058104863,4.675772119217514,4.518518518518518,0.16888256411182354,9.11965846203847,0.018518518518518517,0.046639231824417,2.6359043920503935,3.510676923883727,0.7508251112820697,0.03369406266477589,88.20680640290266
Hf10Mo4Nb10Ta10Ti10Zr10,3.3795298790159514,4.675772119217514,4.518518518518518,0.16899742015428756,9.125860688331528,0.01851851851851852,0.046639231824417,2.64273594308229,3.5150282264156227,0.7518391810404224,0.03054315291709907,86.8531027833651
Hf10Mo4Nb10Ta10Ti10Zr10,3.378890026861659,4.675772119217514,4.518518518518518,0.15403619626768433,8.317954598454953,0.01851851851851852,0.046639231824417,2.6379845732259306,3.532932548225931,0.7466841037060273,0.03176161556051983,93.89197855534803
Mo11Nb13Ti13V4Zr13,3.300225769528442,5.531865041879148,4.722222222222222,0.14824829476544518,8.00540791733404,0.018518518518518517,0.050411522633744855,2.8806144172910244,3.625577023957691,0.7945257812083486,0.03334768287342157,42.38811992563751
Mo11Nb13Ti13V4Zr13,3.300452797933858,5.531865041879148,4.722222222222222,0.13821115902698355,7.463402587457112,0.018518518518518517,0.050411522633744855,2.9024653703681422,3.641727502368142,0.7970023480561704,0.023714398872677483,40.488169405673034
Mo11Nb13Ti13V4Zr13,3.3008596800465604,5.531865041879148,4.722222222222222,0.13976413629312062,7.547263359828514,0.018518518518518517,0.050411522633744855,2.8781415608663523,3.6255853286996853,0.7938419041149961,0.036946256488864286,42.924662558527416
Mo11Nb13Ti13V4Zr13,3.30161299821538,5.531865041879148,4.722222222222222,0.1521797364296027,8.217705767198545,0.01851851851851852,0.05041152263374486,2.876078959799182,3.6198603256325166,0.7945276063370291,0.026633771809625503,42.38669493086309
Mo11Nb13Ti13V4Zr13,3.301889766046888,5.531865041879148,4.722222222222222,0.1443330122732367,7.7939826627547815,0.018518518518518517,0.050411522633744855,2.882379617797853,3.614227502797854,0.7975091815793386,0.024705476972964324,40.10758495215305
Mo18Re18W18,3.1435748505815644,0.6815487047581077,6.333333333333333,0.03629827420205552,1.960106806910998,0.018518518518518517,0.0802469135802469,4.419324792053819,3.953294087053819,1.1178841479378296,0.013805799794243368,
Mo18Re18W18,3.143183181654437,0.6815487047581077,6.333333333333333,0.03345227908389749,1.8064230705304642,0.01851851851851852,0.08024691358024691,4.412112764934501,2.1036517532678345,2.0973589179295855,0.013497291256473585,
Mo18Re18W18,3.1435231329701447,0.6815487047581077,6.333333333333333,0.03733247145486916,2.015953458562935,0.018518518518518517,0.0802469135802469,4.414029803729393,3.9452170487293916,1.1188306623461917,0.014890174826212552,
Mo18Re18W18,3.1432776155209368,0.6815487047581077,6.333333333333333,0.03398960113240713,1.835438461149985,0.018518518518518517,0.0802469135802469,4.408491615964397,2.103713412631064,2.095576131946035,0.013319180153404246,
Mo18Re18W18,3.143296423650066,0.6815487047581077,6.333333333333333,0.03649779343846421,1.9708808456770672,0.01851851851851852,0.08024691358024691,4.414322034882668,2.8044017195493343,1.574069080086018,0.016514154551134932,
Nb18Ta18Ti18V18W18,3.204759699352073,3.5697373671738317,5.0,0.0755959652729242,6.803636874563178,0.01111111111111111,0.03333333333333333,3.348989460144611,4.074400005464611,0.8219589278551259,0.02756876148988865,24.845271423009763
Nb18Ta18Ti18V18W18,3.2039686767343323,3.5697373671738317,5.0,0.08287738777856767,7.4589649000710905,0.01111111111111111,0.033333333333333326,3.4095748196568922,4.1337256998168925,0.82481883590097,0.018358617780297626,23.426682692826944
Nb18Ta18Ti18V18W18,3.2050592506955575,3.5697373671738317,5.0,0.07946325405704235,7.151692865133811,0.011111111111111112,0.03333333333333333,3.3618748737392656,4.096148466099265,0.820740483789338,0.025245843111277227,25.471397353207067
Nb18Ta18Ti18V18W18,3.2050374682330496,3.5697373671738317,5.0,0.07799066589209679,7.01915993028871,0.011111111111111112,0.03333333333333333,3.3761380418897513,4.14117694368975,0.8152605135683103,0.01893308451982825,28.452851576990724
Nb18Ta18Ti18V18W18,3.205603256638118,3.5697373671738317,5.0,0.0777186328041397,6.994676952372573,0.01111111111111111,0.03333333333333333,3.3673728601309234,4.099147287750923,0.8214813042198584,0.017150263889233096,25.089144876334103
Cr18Mo18Nb18V18,3.0840097055396725,4.833383570896627,5.5,0.06806728077553083,4.9008442158382195,0.01388888888888889,0.04861111111111111,3.8565371308456906,3.9488050820956904,0.9766339565180483,0.01925789023834291,
Cr18Mo18Nb18V18,3.0837197912323333,4.833383570896627,5.5,0.07560218027179728,5.443356979569405,0.013888888888888888,0.048611111111111105,3.881169337183583,4.055265490433583,0.9570691108484279,0.02090129053918427,2.6334885859851056
Cr18Mo18Nb18V18,3.0842650712167803,4.833383570896627,5.5,0.07319286559838972,5.2698863230840605,0.013888888888888888,0.048611111111111105,3.878800107552862,3.9275863733028626,0.9875785632413797,0.013802604283948593,
Cr18Mo18Nb18V18,3.084622190537171,4.833383570896627,5.5,0.07851575506246318,5.653134364497349,0.013888888888888888,0.048611111111111105,3.8729574571215895,3.9573103296215892,0.978684291735072,0.020516788256703795,
Cr18Mo18Nb18V18,3.084476081202133,4.833383570896627,5.5,0.07174041865758271,5.165310143345955,0.013888888888888888,0.048611111111111105,3.8762681456624466,3.9637705956624463,0.9779244414155164,0.015572261874758617,
Mo9Nb9Ti9V18Zr9,3.214750960152278,6.313428818836381,4.833333333333333,0.14995278927973346,8.097450621105606,0.01851851851851852,0.05246913580246913,3.1031211968365593,3.804456670503227,0.8156542354380659,0.01981924387999773,28.22944283186189
Mo9Nb9Ti9V18Zr9,3.2122526846100383,6.313428818836381,4.833333333333333,0.1468322721481562,7.928942696000435,0.018518518518518517,0.052469135802469126,3.1165238841904235,3.811940187690424,0.8175689362215993,0.021572547312234788,27.163483620706756
Mo9Nb9Ti9V18Zr9,3.2147910387146985,6.313428818836381,4.833333333333333,0.15599347835123906,8.423647830966909,0.01851851851851852,0.05246913580246913,3.1045784339994027,3.7983485549994023,0.8173495373175123,0.0230582756819526,27.283914106164957
Mo9Nb9Ti9V18Zr9,3.213041542329614,6.313428818836381,4.833333333333333,0.14143507183718024,7.637493879207733,0.018518518518518517,0.052469135802469126,3.105918472601483,3.794503686434816,0.818530888164638,0.023192789026372063,26.640649723771276
